id,name_before,name_after,matched_old,detailedDescription_new_has,mechanismOfAction_new_has,benefitsDescription_new_has,healthIssues_new_has,components_new_has,dosage_new_has,administrationMethod_new_has,faqs_new_has,scientificReferences_new_has,detailedDescription_old_has,mechanismOfAction_old_has,benefitsDescription_old_has,healthIssues_old_has,components_old_has,dosage_old_has,administrationMethod_old_has,faqs_old_has,scientificReferences_old_has,detailedDescription_merged,mechanismOfAction_merged,benefitsDescription_merged,healthIssues_merged,components_merged,dosage_merged,administrationMethod_merged,faqs_merged,scientificReferences_merged,image_name_mismatch
"1","C-1000 with Bioflavonoids","C-1000 with Bioflavonoids",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,no
"2","High Potency Vitamin D3, 10,000 IU","High Potency Vitamin D3, 10,000 IU",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,no
"3","Vitamina_K2","Vitamina_K2",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,no
"4","Calcium Magnesium Zinc","Calcium Magnesium Zinc",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,no
"5","Glucosamine Chondroitin","Glucosamine Chondroitin",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,no
"6","Immune Probiotic Go Pack","Immune Probiotic Go Pack",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,no
"7","Digestive_Duo","Digestive_Duo",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,no
"8","Cleanse_More","Cleanse_More",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,no
"9","Acido_Hialuronico","Acido_Hialuronico",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,no
"10","Triple_extacto_Hongos","Triple_extacto_Hongos",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,no
"11","Mezcla_Higado","Mezcla_Higado",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,no
"12","Menopause_Plus","Menopause_Plus",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,no
"13","Cranberry_Concentrado","Cranberry_Concentrado",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,no
"pr-alpha-gpc","Alpha GPC, 200 mg","Alpha GPC, 200 mg",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,no
"pr-chlorophyll","Chlorophyll","Chlorophyll",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,no
"pr-konjac-fiber","Konjac Root Fiber Glucomannan","Konjac Root Fiber Glucomannan",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,no
"pr-tribulus","Tribulus Mega","Tribulus Mega",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,no
"pr-inositol","Inositol","Inositol",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,no
"pr-magnesium-threonate","Magnesium L-Threonate","Magnesium L-Threonate",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,no
"pr-fish-oil","Mini Omega-3 Fish Oil Lemon","Mini Omega-3 Fish Oil Lemon",yes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,no
"pr-maca","Maca, 4800 mg","Maca, 4800 mg",yes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
"pr-same","SAM-e Enteric Coated","SAM-e Enteric Coated",yes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,no
"pr-bamboo-extract","Bamboo Extract, 3000 mg","Bamboo Extract, 3000 mg",yes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
"pr-borage-oil","Borage Oil (GLA)","Borage Oil (GLA)",yes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
"pr-liver-cleanse","3-Day Liver Cleanse","3-Day Liver Cleanse",yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,no
"pr-ashwa-melatonin","Sleep Formula","Sleep Formula",yes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
"pr-basil-oil","Passion Flower","Passion Flower",yes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
"pr-creatine","Creatine (Micronized)","Creatine (Micronized)",yes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
"pr-chamomile-oil","Rhodiola Rosea","Rhodiola Rosea",yes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
